what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768493073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768495725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768497425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768497799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768499999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768500015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768507768
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427768511325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1427768520638
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1427768525599
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427768525926
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1427768525973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1427768528766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1427768532946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768534522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768535864
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1427768537564
no handler,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1427768538640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768543870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768590985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768593294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768601686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768601718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768621670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768657435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768662926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768674325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768675683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768678203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768679497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768679872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768683039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768683070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768692976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768697799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768699266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768699687
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768702370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768702402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768713634
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427768728814
