what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1427773711187
arch,sysinfo,,,"x86_64",1427773711187
ws,sysinfo,,,"win32",1427773711187
locale,sysinfo,,,"en_US",1427773711187
processors,sysinfo,,,"4",1427773711187
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427773711187
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1427773711187
java.specification.name,sysinfo,,,"Java Platform API Specification",1427773711187
java.specification.vendor,sysinfo,,,"Oracle Corporation",1427773711187
java.specification.version,sysinfo,,,"1.7",1427773711187
java.vendor,sysinfo,,,"Oracle Corporation",1427773711187
java.version,sysinfo,,,"1.7.0_67",1427773711187
java.vm.info,sysinfo,,,"mixed mode",1427773711187
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427773711187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427773711187
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1427773711187
java.vm.specification.version,sysinfo,,,"1.7",1427773711187
java.vm.vendor,sysinfo,,,"Oracle Corporation",1427773711187
java.vm.version,sysinfo,,,"24.65-b04",1427773711187
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1427773713901
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1427773713901
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1427773713901
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1427773713948
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1427773714151
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1427773714322
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1427773714946
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1427773714993
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1427773715040
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1427773715102
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1427773715539
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1427773715586
