what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762439144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762440844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762441184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762449614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762449654
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762472354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762480887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762483987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762513017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762522137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762535465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762540625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762540975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762543915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762543945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762571205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762594611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762596661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762596691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762596701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762597041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762601491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762601851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762605311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762605341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1427762607601
